time;air_temperature
2025-02-11 14:00:00+00:00;2.1666666666666665
2025-02-11 15:00:00+00:00;1.0666666666666667
2025-02-11 16:00:00+00:00;0.18333333333333335
2025-02-11 17:00:00+00:00;-1.6166666666666665
2025-02-11 18:00:00+00:00;-2.4833333333333334
2025-02-11 19:00:00+00:00;-3.516666666666667
2025-02-11 20:00:00+00:00;-4.5
2025-02-11 21:00:00+00:00;-5.3500000000000005
2025-02-11 22:00:00+00:00;-6.433333333333334
2025-02-11 23:00:00+00:00;-7.1
2025-02-12 00:00:00+00:00;-7.8
2025-02-12 01:00:00+00:00;-8.016666666666667
2025-02-12 02:00:00+00:00;-8.459999999999999
2025-02-12 03:00:00+00:00;-8.433333333333334
2025-02-12 04:00:00+00:00;-8.266666666666667
2025-02-12 05:00:00+00:00;-7.183333333333334
2025-02-12 06:00:00+00:00;-7.92
2025-02-12 07:00:00+00:00;-8.133333333333333
2025-02-12 08:00:00+00:00;-6.166666666666667
2025-02-12 09:00:00+00:00;-4.066666666666666
2025-02-12 10:00:00+00:00;-2.25
2025-02-12 11:00:00+00:00;-0.8333333333333334
2025-02-12 12:00:00+00:00;0.20000000000000004
2025-02-12 13:00:00+00:00;-0.15000000000000002
2025-02-12 14:00:00+00:00;-0.5666666666666668
2025-02-12 15:00:00+00:00;-1.1333333333333333
2025-02-12 16:00:00+00:00;-2.1
2025-02-12 17:00:00+00:00;-3.3333333333333335
2025-02-12 18:00:00+00:00;-4.55
2025-02-12 19:00:00+00:00;-5.333333333333333
2025-02-12 20:00:00+00:00;-6.1000000000000005
2025-02-12 21:00:00+00:00;-4.95
2025-02-12 22:00:00+00:00;-3.1399999999999997
2025-02-12 23:00:00+00:00;-3.6166666666666667
2025-02-13 00:00:00+00:00;-2.533333333333333
2025-02-13 01:00:00+00:00;-2.316666666666667
2025-02-13 02:00:00+00:00;-2.06
2025-02-13 03:00:00+00:00;-1.7166666666666668
2025-02-13 04:00:00+00:00;-1.4000000000000001
2025-02-13 05:00:00+00:00;-1.2
2025-02-13 06:00:00+00:00;-1.0999999999999999
2025-02-13 07:00:00+00:00;-1.1500000000000001
2025-02-13 08:00:00+00:00;-1.0833333333333333
2025-02-13 09:00:00+00:00;-0.16666666666666666
2025-02-13 10:00:00+00:00;0.31666666666666665
2025-02-13 11:00:00+00:00;0.9833333333333334
2025-02-13 12:00:00+00:00;1.0999999999999999
2025-02-13 13:00:00+00:00;1.05
2025-02-13 14:00:00+00:00;0.8166666666666668
2025-02-13 15:00:00+00:00;0.5
2025-02-13 16:00:00+00:00;-0.4666666666666666
2025-02-13 17:00:00+00:00;-2.216666666666667
2025-02-13 18:00:00+00:00;-3.516666666666667
2025-02-13 19:00:00+00:00;-4.783333333333333
2025-02-13 20:00:00+00:00;-6.066666666666666
2025-02-13 21:00:00+00:00;-7.166666666666667
2025-02-13 22:00:00+00:00;-8.1
2025-02-13 23:00:00+00:00;-8.68
2025-02-14 00:00:00+00:00;-9.383333333333333
2025-02-14 01:00:00+00:00;-9.766666666666667
2025-02-14 02:00:00+00:00;-10.366666666666667
2025-02-14 03:00:00+00:00;-10.783333333333333
2025-02-14 04:00:00+00:00;-10.950000000000001
2025-02-14 05:00:00+00:00;-9.333333333333334
2025-02-14 06:00:00+00:00;-7.0
2025-02-14 07:00:00+00:00;-5.966666666666666
2025-02-14 08:00:00+00:00;-4.633333333333334
2025-02-14 09:00:00+00:00;-3.3166666666666664
2025-02-14 10:00:00+00:00;-2.066666666666667
2025-02-14 11:00:00+00:00;-0.39999999999999997
2025-02-14 12:00:00+00:00;0.21666666666666667
2025-02-14 13:00:00+00:00;0.16666666666666666
2025-02-14 14:00:00+00:00;0.26666666666666666
2025-02-14 15:00:00+00:00;0.3333333333333333
2025-02-14 16:00:00+00:00;-0.9800000000000001
2025-02-14 17:00:00+00:00;-1.9666666666666668
2025-02-14 18:00:00+00:00;-3.3333333333333335
2025-02-14 19:00:00+00:00;-4.866666666666666
2025-02-14 20:00:00+00:00;-5.5
2025-02-14 21:00:00+00:00;-5.516666666666667
2025-02-14 22:00:00+00:00;-5.6000000000000005
2025-02-14 23:00:00+00:00;-5.66
2025-02-15 00:00:00+00:00;-5.766666666666667
2025-02-15 01:00:00+00:00;-5.816666666666666
2025-02-15 02:00:00+00:00;-5.883333333333333
2025-02-15 03:00:00+00:00;-6.08
2025-02-15 04:00:00+00:00;-6.716666666666666
2025-02-15 05:00:00+00:00;-6.816666666666666
2025-02-15 06:00:00+00:00;-5.68
2025-02-15 07:00:00+00:00;-4.8999999999999995
2025-02-15 08:00:00+00:00;-3.56
2025-02-15 09:00:00+00:00;-3.65
2025-02-15 10:00:00+00:00;-3.38
2025-02-15 11:00:00+00:00;-3.0833333333333335
2025-02-15 12:00:00+00:00;-3.033333333333333
2025-02-15 13:00:00+00:00;-3.0500000000000003
2025-02-15 14:00:00+00:00;-3.6666666666666665
2025-02-15 15:00:00+00:00;-4.1499999999999995
2025-02-15 16:00:00+00:00;-4.9799999999999995
2025-02-15 17:00:00+00:00;-6.2
2025-02-15 18:00:00+00:00;-7.783333333333334
2025-02-15 19:00:00+00:00;-7.966666666666666
2025-02-15 20:00:00+00:00;-8.933333333333334
2025-02-15 21:00:00+00:00;-9.966666666666667
2025-02-15 22:00:00+00:00;-10.766666666666666
2025-02-15 23:00:00+00:00;-11.516666666666667
2025-02-16 00:00:00+00:00;-12.316666666666668
2025-02-16 01:00:00+00:00;-12.983333333333334
2025-02-16 02:00:00+00:00;-13.6
2025-02-16 03:00:00+00:00;-14.066666666666668
2025-02-16 04:00:00+00:00;-14.416666666666666
2025-02-16 05:00:00+00:00;-14.516666666666666
2025-02-16 06:00:00+00:00;-14.533333333333333
2025-02-16 07:00:00+00:00;-14.183333333333332
2025-02-16 08:00:00+00:00;-12.883333333333333
2025-02-16 09:00:00+00:00;-9.116666666666667
2025-02-16 10:00:00+00:00;-4.8500000000000005
2025-02-16 11:00:00+00:00;-2.2399999999999998
2025-02-16 12:00:00+00:00;-0.8333333333333334
2025-02-16 13:00:00+00:00;-0.5333333333333333
2025-02-16 14:00:00+00:00;-0.15
2025-02-16 15:00:00+00:00;-0.8833333333333333
2025-02-16 16:00:00+00:00;-3.3833333333333333
2025-02-16 17:00:00+00:00;-5.88
2025-02-16 18:00:00+00:00;-7.466666666666666
2025-02-16 19:00:00+00:00;-8.65
2025-02-16 20:00:00+00:00;-9.450000000000001
2025-02-16 21:00:00+00:00;-10.1
2025-02-16 22:00:00+00:00;-10.4
2025-02-16 23:00:00+00:00;-10.266666666666667
2025-02-17 00:00:00+00:00;-10.766666666666666
2025-02-17 01:00:00+00:00;-11.375
2025-02-17 02:00:00+00:00;-10.85
2025-02-17 03:00:00+00:00;-10.25
2025-02-17 04:00:00+00:00;-10.6
2025-02-17 05:00:00+00:00;-11.8
2025-02-17 06:00:00+00:00;-9.1
2025-02-17 07:00:00+00:00;-8.433333333333334
2025-02-17 08:00:00+00:00;-6.1499999999999995
2025-02-17 09:00:00+00:00;-2.683333333333333
2025-02-17 10:00:00+00:00;-0.16666666666666666
2025-02-17 11:00:00+00:00;0.45
2025-02-17 12:00:00+00:00;1.7333333333333332
2025-02-17 13:00:00+00:00;1.9166666666666667
2025-02-17 14:00:00+00:00;1.2666666666666666
2025-02-17 15:00:00+00:00;-0.016666666666666673
2025-02-17 16:00:00+00:00;-1.8833333333333335
2025-02-17 17:00:00+00:00;-2.566666666666667
2025-02-17 18:00:00+00:00;-3.1
2025-02-17 19:00:00+00:00;-4.4799999999999995
2025-02-17 20:00:00+00:00;-5.566666666666666
2025-02-17 21:00:00+00:00;-6.18
2025-02-17 22:00:00+00:00;-7.1499999999999995
2025-02-17 23:00:00+00:00;-7.779999999999999
2025-02-18 00:00:00+00:00;-8.466666666666667
2025-02-18 01:00:00+00:00;-8.783333333333333
2025-02-18 02:00:00+00:00;-9.25
2025-02-18 03:00:00+00:00;-9.533333333333333
2025-02-18 04:00:00+00:00;-9.7
2025-02-18 05:00:00+00:00;-9.45
2025-02-18 06:00:00+00:00;-9.950000000000001
2025-02-18 07:00:00+00:00;-9.5
2025-02-18 08:00:00+00:00;-7.25
2025-02-18 09:00:00+00:00;-2.65
2025-02-18 10:00:00+00:00;0.3
2025-02-18 11:00:00+00:00;1.3333333333333333
2025-02-18 12:00:00+00:00;2.2666666666666666
2025-02-18 13:00:00+00:00;2.0
2025-02-18 14:00:00+00:00;1.05
2025-02-18 15:00:00+00:00;-0.049999999999999996
2025-02-18 16:00:00+00:00;-2.1
2025-02-18 17:00:00+00:00;-3.5
2025-02-18 18:00:00+00:00;-4.866666666666666
2025-02-18 19:00:00+00:00;-6.083333333333333
2025-02-18 20:00:00+00:00;-7.0
2025-02-18 21:00:00+00:00;-7.866666666666667
2025-02-18 22:00:00+00:00;-8.566666666666666
2025-02-18 23:00:00+00:00;-9.25
