Table 1,,,,,,,,,,,,
unit_id,,,Name,Link,Energy,Temperature,Volume water,Co2,Heating degree,Cost,Peak High,ZoneCost
,,124828meter,H1.16 Ventilasjon 360.05 Senter,https://www.energinet.net/api/unit/124828meter,https://www.energinet.net/api/unitdata/124828meter1,https://www.energinet.net/api/unitdata/124828meter2,https://www.energinet.net/api/unitdata/124828meter3,https://www.energinet.net/api/unitdata/124828meter7,https://www.energinet.net/api/unitdata/124828meter8,https://www.energinet.net/api/unitdata/124828meter9,https://www.energinet.net/api/unitdata/124828meter11,https://www.energinet.net/api/unitdata/124828meter47
,,124830meter,H1.23 Ventilasjon 360.07 Rotunde 1 ,https://www.energinet.net/api/unit/124830meter,https://www.energinet.net/api/unitdata/124830meter1,https://www.energinet.net/api/unitdata/124830meter2,https://www.energinet.net/api/unitdata/124830meter3,https://www.energinet.net/api/unitdata/124830meter7,https://www.energinet.net/api/unitdata/124830meter8,https://www.energinet.net/api/unitdata/124830meter9,https://www.energinet.net/api/unitdata/124830meter11,https://www.energinet.net/api/unitdata/124830meter47
,,124837meter,Fellesanlegg eks. ventilasjon og DX-kjøling,https://www.energinet.net/api/unit/124837meter,https://www.energinet.net/api/unitdata/124837meter1,https://www.energinet.net/api/unitdata/124837meter2,https://www.energinet.net/api/unitdata/124837meter3,https://www.energinet.net/api/unitdata/124837meter7,https://www.energinet.net/api/unitdata/124837meter8,https://www.energinet.net/api/unitdata/124837meter9,https://www.energinet.net/api/unitdata/124837meter11,https://www.energinet.net/api/unitdata/124837meter47
,,156413meter,Varme aggregat 36.06. Bibliotek,https://www.energinet.net/api/unit/156413meter,https://www.energinet.net/api/unitdata/156413meter1,https://www.energinet.net/api/unitdata/156413meter2,https://www.energinet.net/api/unitdata/156413meter3,https://www.energinet.net/api/unitdata/156413meter7,https://www.energinet.net/api/unitdata/156413meter8,https://www.energinet.net/api/unitdata/156413meter9,https://www.energinet.net/api/unitdata/156413meter11,https://www.energinet.net/api/unitdata/156413meter47
,,156414meter,Varme aggregat 36.01-36.05 og .07 Kjøpesenter,https://www.energinet.net/api/unit/156414meter,https://www.energinet.net/api/unitdata/156414meter1,https://www.energinet.net/api/unitdata/156414meter2,https://www.energinet.net/api/unitdata/156414meter3,https://www.energinet.net/api/unitdata/156414meter7,https://www.energinet.net/api/unitdata/156414meter8,https://www.energinet.net/api/unitdata/156414meter9,https://www.energinet.net/api/unitdata/156414meter11,https://www.energinet.net/api/unitdata/156414meter47
,,156415meter,Varme radiatorer kjøpesenter/kino/bibliotek,https://www.energinet.net/api/unit/156415meter,https://www.energinet.net/api/unitdata/156415meter1,https://www.energinet.net/api/unitdata/156415meter2,https://www.energinet.net/api/unitdata/156415meter3,https://www.energinet.net/api/unitdata/156415meter7,https://www.energinet.net/api/unitdata/156415meter8,https://www.energinet.net/api/unitdata/156415meter9,https://www.energinet.net/api/unitdata/156415meter11,https://www.energinet.net/api/unitdata/156415meter47
,,156450meter,Varme aggregat 36.04-36.03 Hotell / restaurant,https://www.energinet.net/api/unit/156450meter,https://www.energinet.net/api/unitdata/156450meter1,https://www.energinet.net/api/unitdata/156450meter2,https://www.energinet.net/api/unitdata/156450meter3,https://www.energinet.net/api/unitdata/156450meter7,https://www.energinet.net/api/unitdata/156450meter8,https://www.energinet.net/api/unitdata/156450meter9,https://www.energinet.net/api/unitdata/156450meter11,https://www.energinet.net/api/unitdata/156450meter47
,,156452meter,Snøsmelt primærvarme,https://www.energinet.net/api/unit/156452meter,https://www.energinet.net/api/unitdata/156452meter1,https://www.energinet.net/api/unitdata/156452meter2,https://www.energinet.net/api/unitdata/156452meter3,https://www.energinet.net/api/unitdata/156452meter7,https://www.energinet.net/api/unitdata/156452meter8,https://www.energinet.net/api/unitdata/156452meter9,https://www.energinet.net/api/unitdata/156452meter11,https://www.energinet.net/api/unitdata/156452meter47
,,164767meter,4262130085 Tidl. kjølemaskin,https://www.energinet.net/api/unit/164767meter,https://www.energinet.net/api/unitdata/164767meter1,https://www.energinet.net/api/unitdata/164767meter2,https://www.energinet.net/api/unitdata/164767meter3,https://www.energinet.net/api/unitdata/164767meter7,https://www.energinet.net/api/unitdata/164767meter8,https://www.energinet.net/api/unitdata/164767meter9,https://www.energinet.net/api/unitdata/164767meter11,https://www.energinet.net/api/unitdata/164767meter47
,,177118meter,90173432 Ventilasjon mezzanin,https://www.energinet.net/api/unit/177118meter,https://www.energinet.net/api/unitdata/177118meter1,https://www.energinet.net/api/unitdata/177118meter2,https://www.energinet.net/api/unitdata/177118meter3,https://www.energinet.net/api/unitdata/177118meter7,https://www.energinet.net/api/unitdata/177118meter8,https://www.energinet.net/api/unitdata/177118meter9,https://www.energinet.net/api/unitdata/177118meter11,https://www.energinet.net/api/unitdata/177118meter47
